,engine,HI_final,time
4,1,0.7589919740011059,1
5,1,0.7637164528432654,2
6,1,0.7710781768523888,3
7,1,0.7589593146381736,4
8,1,0.7696029943465275,5
9,1,0.7643938972832756,6
10,1,0.7773035732917734,7
11,1,0.7527053679737763,8
12,1,0.7443094457937693,9
13,1,0.7426360601012814,10
14,1,0.7364890901898228,11
15,1,0.7138562756307162,12
16,1,0.7292048715094169,13
17,1,0.720950970106676,14
18,1,0.7273362141959462,15
19,1,0.741812500876741,16
20,1,0.738766636563937,17
21,1,0.7411947467783685,18
22,1,0.74958813343324,19
23,1,0.739696919782409,20
24,1,0.7296771635631043,21
25,1,0.739547545865763,22
26,1,0.743811603831219,23
27,1,0.7494906795038216,24
28,1,0.7629199595091682,25
29,1,0.7539491661806285,26
30,1,0.7653334452837276,27
31,1,0.7578260489245798,28
32,1,0.7401499854522517,29
33,1,0.7298232682226169,30
34,1,0.7421478015909961,31
35,1,0.7448877102680026,32
36,1,0.7570719483553163,33
37,1,0.7721178160689435,34
38,1,0.7717910299115499,35
39,1,0.7707031483647405,36
40,1,0.7521613869609592,37
41,1,0.7324727957550929,38
42,1,0.7365144353621924,39
43,1,0.717537613108593,40
44,1,0.7044009200117085,41
45,1,0.7203712105661462,42
46,1,0.7247900995291419,43
47,1,0.7224992714423746,44
48,1,0.7321992160745248,45
49,1,0.7357164972910921,46
50,1,0.7243098384246929,47
51,1,0.7224359061379373,48
52,1,0.7059145123457233,49
53,1,0.7165301522097411,50
54,1,0.7250386467148522,51
55,1,0.7150096184208555,52
56,1,0.7233314004048268,53
57,1,0.7250161233975017,54
58,1,0.7221019419603484,55
59,1,0.7181636648667706,56
60,1,0.73665216399532,57
61,1,0.7068762318700935,58
62,1,0.717078427263911,59
63,1,0.7022331894739963,60
64,1,0.6987876368886635,61
65,1,0.6918603166396808,62
66,1,0.7066899943783833,63
67,1,0.7049156220089168,64
68,1,0.7129162786031826,65
69,1,0.7139352362519483,66
70,1,0.7074095335968021,67
71,1,0.7224710837023817,68
72,1,0.7141502102420978,69
73,1,0.7235316298471455,70
74,1,0.7191147744572025,71
75,1,0.7139149315066134,72
76,1,0.7124769519851554,73
77,1,0.7116429835552568,74
78,1,0.6979576614535381,75
79,1,0.6909573193186865,76
80,1,0.7021550991470511,77
81,1,0.6889457557642211,78
82,1,0.6769590467886833,79
83,1,0.6768648518267039,80
84,1,0.6809523594984721,81
85,1,0.6636839865776155,82
86,1,0.6675155101081676,83
87,1,0.6708722396476328,84
88,1,0.6672450569759969,85
89,1,0.6685442589787183,86
90,1,0.6782790285431343,87
91,1,0.6569472741626802,88
92,1,0.6582838309113418,89
93,1,0.6502517680724053,90
94,1,0.6481479773795547,91
95,1,0.6379298838447142,92
96,1,0.657232914914608,93
97,1,0.6469672376101044,94
98,1,0.6498555062900813,95
99,1,0.6361545313352879,96
100,1,0.6262005776620715,97
101,1,0.6114389198248299,98
102,1,0.6376501790383722,99
103,1,0.6428409932772259,100
104,1,0.6476505358654793,101
105,1,0.6559000214335178,102
106,1,0.6556452234283785,103
107,1,0.6364662283240242,104
108,1,0.6329080101209824,105
109,1,0.6166433157909794,106
110,1,0.6188247813168594,107
111,1,0.6084942040862484,108
112,1,0.6118708863677585,109
113,1,0.604168745793835,110
114,1,0.6311674155619531,111
115,1,0.6189692734768095,112
116,1,0.6258304875997535,113
117,1,0.6176388724445221,114
118,1,0.6098339861089629,115
119,1,0.5873950281318464,116
120,1,0.5733160928607879,117
121,1,0.5708931778911005,118
122,1,0.5551998327995259,119
123,1,0.5492772751744107,120
124,1,0.5438471390729935,121
125,1,0.5570244325503183,122
126,1,0.5451543981943101,123
127,1,0.5482427101389863,124
128,1,0.5569598939498388,125
129,1,0.5575265147456379,126
130,1,0.5500930011540133,127
131,1,0.5508057250250955,128
132,1,0.5520028321557463,129
133,1,0.5545884914767861,130
